1,0.000001,0.000000,0.000001
2,0.000002,0.000000,0.000002
7,0.000004,0.000000,0.000004
1,0.000002,0.000002,0.000000
2,0.000001,0.000000,0.000002
7,0.000004,0.000000,0.000004
1,0.000002,0.000000,0.000002
2,0.000002,0.000000,0.000002
7,0.000004,0.000000,0.000004
1,0.000000,0.000001
2,0.000000,0.000001
7,0.000000,0.000003
1,0.000002,0.000001
2,0.000001,0.000002
7,0.000004,0.000003
0,0.000001,0.000001
5,0.000003,0.000003
12,0.000025,0.000025
25,0.002189,0.000000
30,0.074101,0.000000
1,0.000001,0.000001
2,0.000002,0.000002
7,0.000005,0.000005
1,0.000001,0.000000,0.000002
2,0.000002,0.000000,0.000002
7,0.000005,0.000000,0.000005
1,0.000002,0.000001
2,0.000002,0.000002
7,0.000005,0.000005
1,0.000002,0.000002
2,0.000002,0.000002
7,0.000005,0.000005
0,0.000002,0.000001
5,0.000003,0.000003
12,0.000025,0.000025
25,0.002151,0.000000
30,0.074236,0.000000
0,0.000002,0.000000
5,0.000004,0.000000
12,0.000031,0.000000
25,0.002185,0.000000
30,0.074498,0.000000
0,0.000002,0.000001
5,0.000004,0.000003
12,0.000025,0.000025
25,0.002274,0.000060
30,0.073613,0.000000
0,0.000002,0.000002
5,0.000002,0.000003
12,0.000026,0.000026
25,0.002313,0.000565
30,0.075381,0.000046
0,0.000002,0.000001
5,0.000003,0.000002
12,0.000026,0.000025
25,0.002224,0.000468
30,0.074776,0.000182
0,0.000002,0.000001
5,0.000003,0.000002
12,0.000025,0.000024
25,0.002146,0.000000
30,0.074365,0.000000
0,0.000002,0.000002
5,0.000003,0.000003
12,0.000025,0.000025
25,0.002311,0.000000
30,0.074421,0.000000
0,0.000001,0.000001
5,0.000003,0.000003
12,0.000024,0.000025
25,0.002147,0.000000
30,0.074346,0.000000
